"words","avg_points","total_points","quantity"
"outer",91.154,1185,13
"multilayered",91.154,1185,13
"growths",91.154,1185,13
"fruit—a",91.154,1185,13
"changing",91.154,1185,13
"bundle",91.154,1185,13
"entire",91.152,10209,112
"purity",91.15,63714,699
"steadily",91.15,3646,40
"culinary",91.15,3646,40
"touching",91.15,1823,20
"decorated",91.15,1823,20
"ageing",91.15,1823,20
"luxurious",91.148,25795,283
"epitomizes",91.148,2461,27
"florality",91.147,3099,34
"veins",91.146,4375,48
"pipe",91.145,40833,448
"bien",91.143,5104,56
"silex",91.143,1276,14
"giscours",91.143,1276,14
"duo",91.143,1276,14
"bruce",91.143,1276,14
"powerful",91.138,258102,2832
"intricate",91.137,11939,131
"precise",91.136,25427,279
"laser-like",91.136,2005,22
"hugely",91.135,15493,170
"superior",91.135,8749,96
"sail",91.133,1367,15
"head-trained",91.133,1367,15
"feast",91.133,1367,15
"aptly",91.133,1367,15
"clifton",91.132,4830,53
"silk",91.13,10480,115
"testarossa",91.13,4192,46
"botrytized",91.129,2825,31
"precision",91.125,18225,200
"icon",91.125,1458,16
"swings",91.12,2278,25
"sought-after",91.12,2278,25
"network",91.12,2278,25
"lasts",91.119,14488,159
"gem",91.118,3098,34
"tamari",91.118,1549,17
"hahn",91.118,1549,17
"cru",91.117,62233,683
"19th",91.115,2369,26
"authoritative",91.114,3189,35
"wrought",91.111,1640,18
"husband",91.111,1640,18
"suede",91.111,820,9
"specially",91.111,820,9
"six-year-old",91.111,820,9
"merged",91.111,820,9
"lesser-known",91.111,820,9
"lecole",91.111,820,9
"irresistably",91.111,820,9
"additionally",91.111,820,9
"dazzle",91.107,2551,28
"winemaker:",91.106,8564,94
"nacido",91.105,5193,57
"ripples",91.105,1731,19
"lockdown",91.105,1731,19
"20-year-old",91.105,1731,19
"terrific",91.104,22867,251
"bodes",91.103,2642,29
"tantalizing",91.102,8928,98
"effortlessly",91.101,12663,139
"mercurey",91.1,1822,20
"diving",91.1,1822,20
"trove",91.1,911,10
"sabrine",91.1,911,10
"outline",91.1,911,10
"hoed",91.1,911,10
"heighten",91.1,911,10
"gilded",91.1,911,10
"now–2023",91.097,2824,31
"lewis",91.097,2824,31
"alain",91.097,2824,31
"wright",91.095,1913,21
"unravel",91.095,1913,21
"handled",91.095,1913,21
"ryan",91.094,2915,32
"syrahs",91.092,10840,119
"black-berry",91.091,1002,11
"astonishingly",91.091,1002,11
"tender",91.09,8107,89
"earl",91.09,6103,67
"sensual",91.085,4281,47
"cult",91.083,7651,84
"ultrarich",91.083,2186,24
"top-level",91.083,1093,12
"gathers",91.077,2368,26
"northridge",91.077,1184,13
"citrus-focused",91.077,1184,13
"blistered",91.077,1184,13
"des",91.075,10929,120
"blocks",91.072,10109,111
"madiran",91.071,2550,28
"roberts",91.071,1275,14
"rob",91.071,1275,14
"played",91.071,1275,14
"perennially",91.071,1275,14
